customer_id,first_name,email,loyalty_status,customer_phone,total_loyalty_points
Customer_ID,Name,Email,Customer_Segment,Phone,0
54688,Jimmy,Joshua35@gmail.com,Regular,2271990863,0
76511,Tammy,Teresa5@gmail.com,Regular,7827912990,0
29062,Erin,Melissa54@gmail.com,Regular,7881783778,0
77396,Andrew,Jennifer5@gmail.com,Regular,1005008381,0
43461,Matthew,Nicole57@gmail.com,Regular,4456550061,0
44395,Sheryl,Stephen98@gmail.com,Regular,4794177571,0
65537,Bobby,Gary37@gmail.com,Regular,1482607697,0
32484,James,Nathan99@gmail.com,Regular,6482084946,0
45222,Lisa,Breanna45@gmail.com,Regular,2965378197,0
15167,Andre,Willie100@gmail.com,Regular,4809547825,0
